"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"147","PSE","Asia","Palestine","2020-10-20",59082,543,447.286,481,2,3.714,11581.49,106.441,87.679,94.288,0.392,0.728
"148","PAN","North America","Panama","2020-10-20",125181,436,625.571,2574,10,10.286,29012.22,101.048,144.984,596.556,2.318,2.384
"149","PNG","Oceania","Papua New Guinea","2020-10-20",581,0,2.286,7,0,0,64.938,0,0.255,0.782,0,0
"150","PRY","South America","Paraguay","2020-10-20",55452,728,729.714,1207,19,15.857,7774.52,102.068,102.308,169.225,2.664,2.223
"151","PER","South America","Peru","2020-10-20",870876,2201,2815,33820,61,66.143,26412.716,66.754,85.376,1025.724,1.85,2.006
"152","PHL","Asia","Philippines","2020-10-20",359169,2551,2336.143,6675,23,49,3277.655,23.28,21.319,60.914,0.21,0.447
"153","POL","Europe","Poland","2020-10-20",183248,7482,7576.857,3614,41,82.143,4841.861,197.693,200.199,95.491,1.083,2.17
"154","PRT","Europe","Portugal","2020-10-20",101860,1949,1992.429,2198,17,14.857,9989.5,191.14,195.399,215.56,1.667,1.457
"155","PRI","North America","Puerto Rico","2020-10-20",57950,657,530.857,768,2,4.714,20256.288,229.653,185.56,268.453,0.699,1.648
"156","QAT","Asia","Qatar","2020-10-20",129671,240,211.429,224,0,0.571,45008.087,83.303,73.386,77.749,0,0.198
"157","ROU","Europe","Romania","2020-10-20",182854,2466,3643.143,5931,59,66.286,9504.991,128.186,189.375,308.301,3.067,3.446
"158","RUS","Europe","Russia","2020-10-20",1415316,15982,14715.143,24366,179,234.857,9698.299,109.515,100.834,166.965,1.227,1.609
"159","RWA","Africa","Rwanda","2020-10-20",4992,18,12.429,34,0,0.286,385.417,1.39,0.96,2.625,0,0.022
"160","KNA","North America","Saint Kitts and Nevis","2020-10-20",19,0,0,NA,0,0,357.197,0,0,NA,0,0
"161","LCA","North America","Saint Lucia","2020-10-20",36,3,1,NA,0,0,196.047,16.337,5.446,NA,0,0
"162","VCT","North America","Saint Vincent and the Grenadines","2020-10-20",67,0,0.429,NA,0,0,603.892,0,3.863,NA,0,0
"163","SMR","Europe","San Marino","2020-10-20",766,7,2,42,0,0,22570.57,206.258,58.931,1237.551,0,0
"164","STP","Africa","Sao Tome and Principe","2020-10-20",933,0,0.571,15,0,0,4257.144,0,2.607,68.443,0,0
"165","SAU","Asia","Saudi Arabia","2020-10-20",342583,381,424,5201,16,19,9840.418,10.944,12.179,149.394,0.46,0.546
"166","SEN","Africa","Senegal","2020-10-20",15432,14,20,319,2,0.571,921.647,0.836,1.194,19.052,0.119,0.034
"167","SRB","Europe","Serbia","2020-10-20",36282,122,204,778,2,1.857,5331.984,17.929,29.98,114.334,0.294,0.273
"168","SYC","Africa","Seychelles","2020-10-20",149,0,0.143,NA,0,0,1515.152,0,1.453,NA,0,0
"169","SLE","Africa","Sierra Leone","2020-10-20",2331,1,3.571,73,0,0.143,292.216,0.125,0.448,9.151,0,0.018
"170","SGP","Asia","Singapore","2020-10-20",57915,4,5,28,0,0,9899.42,0.684,0.855,4.786,0,0
"171","SXM","North America","Sint Maarten (Dutch part)","2020-10-20",756,3,6.571,22,0,0,17629.775,69.959,153.244,513.036,0,0
"172","SVK","Europe","Slovakia","2020-10-20",30695,860,1477.143,92,4,4.429,5622.162,157.519,270.557,16.851,0.733,0.811
"173","SVN","Europe","Slovenia","2020-10-20",13681,537,692.714,164,3,2.857,6580.783,258.306,333.207,78.887,1.443,1.374
"174","SLB","Oceania","Solomon Islands","2020-10-20",3,0,NA,NA,0,NA,4.368,0,NA,NA,0,NA
"175","SOM","Africa","Somalia","2020-10-20",3890,26,3.714,101,2,0.286,244.758,1.636,0.234,6.355,0.126,0.018
"176","ZAF","Africa","South Africa","2020-10-20",705254,1461,1826.143,18492,21,101.714,11891.242,24.634,30.79,311.792,0.354,1.715
"177","KOR","Asia","South Korea","2020-10-20",25333,58,75.429,447,3,1.857,494.117,1.131,1.471,8.719,0.059,0.036
"178","SSD","Africa","South Sudan","2020-10-20",2847,5,8.571,55,0,0,254.339,0.447,0.766,4.913,0,0
"179","ESP","Europe","Spain","2020-10-20",988322,13873,13176.571,34210,218,143.714,21138.415,296.718,281.823,731.69,4.663,3.074
"180","LKA","Asia","Sri Lanka","2020-10-20",5625,87,111.571,13,0,0,262.688,4.063,5.21,0.607,0,0
"181","SDN","Africa","Sudan","2020-10-20",13697,6,1.714,836,0,0,312.366,0.137,0.039,19.065,0,0
"182","SUR","South America","Suriname","2020-10-20",5133,3,10.714,109,0,0.286,8749.919,5.114,18.264,185.806,0,0.487
"183","SWZ","Africa","Swaziland","2020-10-20",5788,8,15,116,0,0.429,4988.95,6.896,12.929,99.986,0,0.369
"184","SWE","Europe","Sweden","2020-10-20",106465,770,822.143,5908,3,2,10541.851,76.243,81.406,584.993,0.297,0.198
"185","CHE","Europe","Switzerland","2020-10-20",83159,8737,2696,1837,14,5.286,9608.627,1009.519,311.51,212.257,1.618,0.611
"186","SYR","Asia","Syria","2020-10-20",5134,57,51.429,251,3,3.286,293.36,3.257,2.939,14.342,0.171,0.188
